Name,Party,Constituency,Date of Birth,Education
Obi Onyeabo,NPP,Anambra West,20/11/1938,"WASC, GCE Advance Level, (L.L.B)"
Ani Isaiah Nnamani,NPP,Anambra North,16/06/1933,
Udenze Chukwuemeka,NPP,Anambra,,
Onwudiwe Edwin,NPP,Anambra,,
Nwanko Andrew Ogbonna,,Anambra,,
Dimis Ibrahim,NPN,Bauchi South,01/10/1927,Privately Educated
Waziri Ibrahim Jalo,NPN,Bauchi East,1926,
Rufa'i Ahmadu Damyama,NPN,Bauchi Central,August 1919,
Mohammed Adamu Ambi,NPN,Bauchi,,
Tuggar Abubakar,NPN,Bauchi,,
Dafinone David Omueya,NPN,Bendel South,12/03/1927,"Diploma in Public Admin., B.Sc Econs, Chartered Accountant"
Umolu John Osiomele,UPN,Bendel North,1919,
Afegbua Franca Adiza,,Bendel,,
Iyahen Sunday Osarumwense,,Bendel,,
Ikpo Nosike,UPN,Bendel East,21/03/1933,
Ali Amadu Adah,NPN,Benue West,01/03/1936,"MB, BS (London), Post Graduate Studies"
