Name,Party,Constituency,Date of Birth,Education
Ibrahim Madaki,NPN,Agaie/Lapai,1923,
M. B. Mustapha,NPN,Bida-North,1936,
Lahaji Yinusa Paiko,NPN,Minna-South,15/03/52,
Ahmed Tanko Ushama,NPN,Rafi,02/04/36,
O. Akingboro,UPN,Oke-Ona/Owu/Gbagura,26/04/36,Grade II Teacher Cert
D. O. Bankole,UPN,Egbado/Ifoyin/Ilaro,28/08/26,
Fola Omidiji,UPN,Egba Alake,06/07/46,L.L.B
A. Mako,UPN,Ijebu North,11/09/18,"Teacher Diploma, B.Sc Pure. Sci"
Saula A. Oduntan,UPN,Ifo/Ota,15/02/1936,
S. A. Ogunfuyi,UPN,Ijebu East,20/09/34,
O. Ogunkoya,UPN,Ijebu-Remo,,
Oladele Ogunsiji,UPN,Egbado-North,18/12/46,"B. Sc Agric, Ph.D in Agric."
T. Ogunsiji,UPN,Odeda,06/07/32,
S. A. Olaewe,UPN,Ado/Igbesa/Ipokia,07/02/37,
M. A. Olukoya,UPN,Ijebu-Ode,,
M. O. Oni,UPN,Obafemi/Owode,25/12/44,
