Name,Party,Constituency,Date of Birth,Education
Muhammadu Hussaini,NRC,Igiabi Federal,,
Abdulkadir S. Usman,NRC,Zaria,,
Edward Gamba,SDP,Doka/Kawo,,
Sani Bala Dausara,SDP,Yadakuwya,15/02/1958,Secondary School Cert
Muhammed Abubakar,SDP,Tofa,05/06/1964,B.Sc Electrical
Murtala Musa Bagwai,NRC,Bagwai,1955,Grade II Teacher's Certificate
Abdul-Aziz Adamu Gano,NRC,Dawakin-Kudu,1955,Grade II Certificate
Sidi Mustapha Karaye,NRC,Karaye,20/08/1949,Attended Wuchi Teachers' College
Mustapha B. Yunusa,SDP,Tsanyawa,,Diploma in Forestry
Adamu Kaka Isangaya,NRC,Albasu,1960,B.SC. In Agriculture
Balliya Alasau Dawanay,SDP,D/Tofa,04/06/1955,Teachers' Education Certificate
Isyaku A. Ali,SDP,Gezawa,20/12/1964,WASC
Tafida Nainna Danbatta,NRC,Danbatta,1952,NCE
Rabiu Musa,SDP,Madobi,21/10/1956,PHD in Engineering
Ya'u Tsoho Zakirai,NRC,Gabasawa,1954,Grade II Certificate
Suleiman Abdullahi,NRC,R/Gado,1954,B.Sc. in Economics & Business Admin
