Name,Party,Constituency,Date of Birth,Education
Ahmed Abdullahi,SDP,Mull Mudori,,
Suleiman Tanimu,NRC,Lere,15/04/1956,Certificate & Diploma in Computer & Accountancy
Chanchok Caleb Audu,SDP,Zangon Kataf,27/03/1957,B.A History
Zakariya J. Shamaki,SDP,Kauru,26/11/1956,Bachelors degree in History
Boniface I. Garba,SDP,Jema's,02/03/1962,Secondary School
Mark Jacob Gadani,SDP,Chikun,13/02/1964,NCE in English/History
Joseph Citta,SDP,Kachia,1962,A Graduate of Law
Zuwahu V. B. Ninyio,SDP,Kaduna South,20/03/1960,B.Sc. In Internl. Studies
Jonathan Jatau Labi,SDP,Kaura,12/05/1949,Higher Diploma in Advertising & Mktg
Salihu Musa Auchan,SDP,Ikara,03/05/1957,Bachelors degree in History & Arabic Studies
Magaji T. Yakawada,SDP,Giwa,13/11/1959,Masters degree in African Language
Bashiru I. Sakadabi,SDP,Sabon Gari,13/07/1966,School Certificate
Dalhatu M. Gimba,NRC,Soba,,
Ibrahim Mohammed,NRC,Birnin Gwari,1954,Diploma in Community Health
Adamu Kuri Gwari,NRC,Jaba,01/10/1951,Diploma in Bus. Studies & Public Accounting
Habibu Sani,NRC,Igiabi,15/06/1965,Bachelor degree in History
