Name,Party,Constituency,Date of Birth,Education
Hamza Gombe,NPN,Misau,1916,
Bello C. Gwaram,,Akko-Pindiga,,
Irmiye Hassan,,Gombe,,
Mohammed Hassan,NPN,Alkaleri,01/12/28,
Yunusa Kaltungo,NPN,Tangale-Waja South,24/05/35,
Mohammed K. Labaran,NPN,Darazo-Sale,1952,
Ahmadu Mohammed,,Tangale-Waja South,,
Nuhu Poloma,,Darazo-Sale,02/02/41,Diploma in International Intelligence
Mohammed A. Shamaki,,Katagum,26/11/45,
Kaulaha Aliyu,NPN,Katagum East,1953,
Adamu Yarima,GNPP,Dukku West,02/02/45,
Y. G. Zambuk,NPN,Yamultu-Deba,09/04/42,
Aliyu Kafin Madaki,NPN,Ganjuwa,,
Ahmadu Nafada Mohammed,PRP,Dukku East,,
Isa Yakubu Toro,NPN,Toro,1949,
Irmuja D. Hassan,NPP,Dase-Tafawa Balewa,"February, 1947",
