Name,Party,Constituency,Date of Birth,Education
M. Bachaka,,Argungu,,
Sani B. Dala Bungudu,GNPP,Bungudu-Kotorkoshi,1948,School Cert.
Atahiru M. Dakin-Gari,GNPP,Dakin-Gari,1932,
I. Daudu,NPN,Sakaba/Wasagu,1920,
Ashiru Ruwan Dorawa,GNPP,Anka,,
Umaru Aliyu Durbawa,NPN,Darbawa/Kware,05/06/54,
Usman Gada,,Gada,,
Umaru Garu,NPN,Goronyo,04/05/53,
Garba Gizori,GNPP,Tambawal,,
M. Aliyu Gummi,NPN,Gummi,1925,Teacher Grade II Cert.
Shehu Hamzat,NPN,Gwadabawa,30/12/51,
Garba Jega,NPN,Sokoto,1944,Local Govt Admin Cert.
M. Mijinyawa,NPN,Chafe,1944,
Abdullahi Mohammed,NPN,Zurmi-Moriki,,
Aliya Mohammed Rahab,,Illela,,
Isa Rilwanu,,Gandi/Fakai,10/02/40,Teacher Grade II Cert
