Name,Party,Constituency,Date of Birth,Education
Madabo Bashir Idris,ANPP,Funtua/Dandume,September 1958,Higher Diploma from Institute of Administration
Aminu Bello Masari,PDP,Malufashi/Kafur,May 1950,Post Graduate Diploma
Aminu Shuaib Safana,PDP,Batsari/Danmusa/ Safana,April 1961,"MBBS, MPRSH, MFPHM"
Hadi A. Sirika,ANPP,Dutsi/Mashi,March 1964,Commercial Pilor Licence Airplane/Helicopter
Shehu A. Garba,PDP,Musawa/Matazu,June 1961,Doctor of Philosophy Degree
Lawal Garba,ANPP,Daura Sandamu Nadua,July 1954,Diploma in Banking
Hamisu Gambo,ANPP,Katsina Central,June 1959,WAEC
Ishaq Idris Kurfi,ANPP,Dutsin-Ma/Kurfi,October 1953,Master of Science (M.Sc)
Sule Aliyu Bindawa,PDP,Mani/Bindawa,April 1956,B.Sc in Education
Garba Yakubu Lado,PDP,Kankara/Sabuwa/ Faskaru,October 1961,National Diploma in Account & Audit
Nuhu Magaji,ANPP,Baure/Zango,September 1963,National Diploma in Mechanic Maintenance
Bashir Bala Koko,ANPP,Koko/Besse-Maiyama,September 1955,HND in Management
Sani Bawa Argungu,ANPP,Argungu/Augie,August 1959,HND (Engineering)
Bala Ibn Na'allah,ANPP,Zuru/Sakaba/Dabai/ Wasagu,July 1962,Bachelor of Law Degree
Abdullahi Umar Faruk,ANPP,Birni Kebbi/Kalgo/ Bunza,March 1963,Master of Science in Highway & Transportation
Ibrahim Aliyu Gwandu,ANPP,Gwandu/Aleiro/Jega,May 1946,Masters Degree in Public Administration
