Name,Party,Constituency,Date of Birth,Education
Mohammed D. Hadejia,PRP,Birniwa,,
Sidi Ali Hamed,PRP,Danbatta,,
A. Sadik Harith,PRP,Kiru,,
Saidu A. Ibrahim,,Kiryawa,25/06/44,Diploma in Mining
Garba Isyaku,PRP,Minjibir,20/08/49,Diploma in Secretariate Studies
A. Abdulkadir Ja'e,NPN,Rano,1926,
Mohammed S. Kaugama,PRP,Auyo/Kaugama,,
Saidu Kanti,NPN,Hade,1942,
Salisu M. Kanya,NPN,Babura,25/06/42,
M. Isyaku Gumawa,PRP,Gabasawa,1942,
Sule Lamido,PRP,Birnin Kudu,1948,
Ado Maitama,PRP,Gezawa,1947,
S. Maihula,PRP,Bagwa,,
Adamu Matoya,NPN,Gumel South,1924,
Umaru Mohammed,NPN,Gumel North,05/04/45,
Hassan Muhammed,PRP,Kafin/Hausa/Bulangu,1939,
