Name,Party,Constituency,Date of Birth,Education
Nwogu Chidi Emmanuel,PDP,Nkwere/Isu/Nwangele/ Najaba,May 1967,Bachelor of Science Degree in Quantity Survey
Ihedioha C. Nkem,PDP,"Aboh, Mbaise/ Ngor Okpala",March 1965,B.Sc. Degree in Food Tech.
Ojinika Geff Chizee,PDP,Orlu/Orsu/Oru-East,December 1961,Doctor of Optometry
Osita B. Izunaso,PDP,Ohaji-Egbema/Oguta/ Oru West,October 1966,BA (Hons) MBA
Ogunewe Independence,PDP,Ahiazu/Ezinihitte,April 1960,Bachelor of Science Degree in Economics
Francis Amadiegwu,PDP,Okigwe South,June 1959,MA Political Science/ International Relations
Okwaranya Ethelbert,ANPP,Ideato North/South,June 1962,Masters of Arts in Philosophy
Onyeagucha Uchechukwu,APGA,Owerri,June 1965,Masters Degree in Law
Maurice Ibekwe,,Okigwe,,
Anwalu Sule Kila,ANPP,Gwaram,April 1958,Bachelor of Science Degree
Saido Yusuf Miga,ANPP,Jahun/Miga,September 1957,An Undergraduate
Safiyanu Ubale Taura,ANPP,Ringim/Taura,January 1959,General Certificate in Education (GCE)
Yusufu Saleh Dunari,ANPP,Mallam Madori/ Kaugama,August 1953,WASC Certificate
Abdulaziz Usman,ANPP,Birniwa/Guri/ Kirikasanna,January 1962,HND in Extension of Management
Jibrin Yusuf Babangida,ANPP,Hadejia/Auyo/ Kafin Hausa,November 1958,National Diploma
Farouk Aliyu Cognate,ANPP,Birnin Kudu/Buji,May 1959,Middle Diploma
