Name,Party,Constituency,Date of Birth,Education
B. D. Wahu,GNPP,Mubi,1950,
David H. Gba' Aondo,GNPP,Takum,1949,
Iliyasu Hong,GNPP,Hong,,
Agwu N. Agwu,NPP,Ohaozara,08/06/1942,
Sam O. Alu,NPN,Afikpo,17/04/38,
P. C. Amadi,NPP,Owerri North,24/06/37,
T. C. Amasiatu,NPP,Oru,10/03/38,
G. I. Anukwuem,NPP,Ihitte Uboma,22/06/30,
E. O. Chukwu,NPP,Okigwe North,21/11/1939,
Paulnus U. Chukwu,NPP,Ohaji Egbema Ogutta,06/02/1932,Std VI
E. C. Ebo,NPP,Mbano East,25/12/1930,
J. E. Egburuche,NPP,Agbaja/Ururu,05/06/25,
Paul O. Eleke,NPP,Obowo,05/05/25,Dip in Physical & Health Education
Clement Erondu,NPP,Obima Ngwa,,
S. M. O. Ihekweazu,NPP,Nkwerre/Amaigbo,10/09/37,Career Nurse
A. O. Imo,NPP,Ezinihitte,1928,
