Name,Party,Constituency,Date of Birth,Education
Inuwa Ali,NPN,Jos North,30/12/25,
M. S. Alhaji Aliyu,NPP,Nasarawa,,
Iortim Ityo,NPP,Awe,1953,
John L. Laven,NPP,Langtang,02/04/37,
J. Y. M. Mallo,,Akwanga,,"HND Animal Husbandry, B.A (Education & Econs)"
Hogan Chokwe Racha,NPP,Racha,,
D. D. Dafuan,NPP,Shendam West,30/10/36,
S. F. Dalyop,NPP,Jos South,05/05/36,
P. C. Deme,,Barakin Ladi,,
Ambrose Gapsuk,NPP,Shendam East,1942,
Christopher K. Gutus,NPP,Pankshin,1946,
Yakubu A. Husaini,NPN,Lafia,1942,
Amos Idakula,NPP,Keffi,11/06/49,
J. Yamu Marki,,Akwanga,,
Mohammed D. Shuaibu,,Kanam,,
Felix M. Wetkum,NPP,Mangu,1948,Grade I Teacher's Cert
