Name,Party,Constituency,Date of Birth,Education
B. J. Abegunde,UPN,Ekiti East,21/04/47,B.A Mass.com
S. A. Adeagbo,UPN,Ero North,30/04/36,
A. Adeola,UPN,Ijero,06/04/39,B.Sc Secondary Education
Z. O. Adetula,UPN,Owo,24/08/28,
Emmanuel D. Adu,UPN,Ekiti North District,04/04/40,B.Sc Econs
F. A. Akinbisehin,UPN,Ifesowopo,26/06/34,
T. O. Akinbode,UPN,Owo,09/02/30,
I. F. Akinyosoye,UPN,Ondo,23/09/37,
Faji Fajobi,UPN,Ekiti South,June 1925,"LLB, BL"
G. A. Falayi,UPN,Ekiti Central,01/01/39,
Olaiya Fagbamigbe,UPN,Akure,22/08/28,SSCE
B. E. Kayode,UPN,Idanre/Ifedore,03/06/36,
J. A. Ogunleye,UPN,Akoko North,10/01/31,
Opayemi Ola,UPN,Ekiti West,,
R. A. Olagunju,UPN,Akoko South,"October, 1934",
Olu Olofinlade,UPN,Ero South,27/08/33,
