Name,Party,Constituency,Date of Birth,Education
Ibrahim Zailani,NPN,Zaria Central,,
Dajuma A. Zubairu,NPP,Jemmandth,19/09/50,
Sani Abubakar,NPN,Roni,,
S. Abubakar,PRP,Dawakin-Tofa,1947,
Aliyu Adamu,PRP,Ungogo,15/01/48,
Sarki Adamu,PRP,Dawakin-Kudu,04/04/39,HND Marketing & Pub. Admin
Muhd A. Tukur Fagam,PRP,Gwaram,10/10/52,
Musa A. Alasan,PRP,Tudun Wada,1938,
Y. Bichi,PRP,Bichi,Aug. 1953,
Sarki Gambo,GNPP,Takai/Kachako,1947,
Musa Gammo,NPN,Kabo,1945,
Husaini A. Gajango,PRP,Malam Madori,15/06/51,
Nasidi Garba,PRP,Kura,1941,
Uba Illiya Garki,PRP,Garki,1953,
Umaru Sule Garo,PRP,Shanono,11/01/53,
Yusuf Nadabo Gaya,PRP,Gaya North,24/08/38,Diploma in Treasury
