Name,Party,Constituency,Date of Birth,Education
Abdullahi Adamu,APP,Zaki,,
Ipigansi Graham,ANPP,Ogbia,23/12/1957,HND
Andie Clement,PDP,Sagbama/Ekeremor,23/07/1963,B.Sc Banking and Finance
Okoto Foster Bruce,PDP,Southern Ijaw,05/05/1969,B.Sc in Sociology
Dieworio Wilson Wuku,PDP,Brass/Nembe,01/12/1961,Bachelor of Law Degree
Epengule M. Torukurobo,PDP,Bayelsa Central,16/01/1961,WAEC
Zakarie A. Malherbe,APP,Buruku,17/04/1940,Diploma in Police Management Science
Ikerave Goddy Igbaraav,PDP,Gwer/Gwer West,12/08/1950,Diploma in Journalism and HND International Advance Diploma in Journalism
Tachia Jooji,PDP,Vandeikya/Konshisha,27/08/1946,Bachelor Degree in English
Samuel Onazi Obande,PDP,Ado/Ogbadiggba/ Okpokwu,10/10/1964,Bachelor Degree in Building Management
Tsegba Terngu,PDP,Gboko/Tarka,04/03/1963,Post Graduate Diploma in Management
Solomon Umoru Agidani,PDP,Apa/Aguta,12/12/1958,Masters Degree in Construction Technology
Moses A. Tor Gbande,PDP,Kwande/Ushongo,26/08/1948,Bachelors Degree and Post Graduate in Diploma in Business Admin.
Cletus Tivnongu K. Upaa,PDP,Makurdi/Guma,20/07/1948,A.C.C.A (Level II)
Altine Oga Idikwu,PDP,Igede (Oju/Obi),04/01/1960,Ordinary National Diploma
Suswam Gabriel Torwua,PDP,Katsina-Ala/Ukum/Logo,15/11/1964,Bachelor of Law Degree
