Name,Party,Constituency,Date of Birth,Education
Audu Rueben John,,Gongola,,
Abdulmumini Jungudo S.,,Gongola,,
Sawa Randrawus,,,,
Echeruo Emeka Patrick,NPP,Okigwe,11/06/1939,"B.Sc, Aff. ASAE, AMNIM"
Ojukwu Simeon Mba,NPP,Umuahia,03/03/1921,"Graduate L.L.B, B.L"
Wachukwu Jaja Anucha,NPP,Aba,01/01/1918,L.L.B
Nzeribe Arthur Francis,,Imo,,
Ukpabi Christopher,,Imo,,
Bauru Ibrahim,PRP,Ikara/Zaria/Birnin Gwari,07/01/1936,Pharmacist
Madaki Jacob Kure,NPN,Kachia/Jemaa/Saminaka,August 1938,
,,,,
,,,,
,,,,
Zuwo Sabo Bakin,PRP,Kano Central,1934,Local Govt Admin
,,,,
,,,,
