Name,Party,Constituency,Date of Birth,Education
E. M. Sam-Eligwe,NRC,Ahoda,29/12/1952,B.Sc. in Public Sc. & MPA
Chris Alayae Don Pedro,NRC,Akuku-Toru,12/08/1958,Higher National Cert. in Business Studies
Agbedi Y. Frederick,NRC,Ekeremor,20/02/1960,"Majored in English, History"
Ibiana Ibifuro Anye,SDP,Bonny,01/04/1942,Diploma in Child Health
Igwe Mbombo Fred,NRC,Tai-Eleme,24/07/1963,Law Degree
Friday Josiah Abigo,NRC,Tai-Eleme,24/07/1963,Law Degree
Angolia Aboko,NRC,Abua/Oduan,13/08/1956,Degree in Education/ Management
Samuel Lucky O. Oluo,NRC,Etche,25/10/1940,Doctorate Degree in Political Science
Bolere Elizabeth Ketebu,NRC,Yenagoa,25/10/1954,Master's Degree in Public Health
John Chukwuma Imegi,NRC,Ogba/Egbema/Ndoni,24/07/1963,MBA (Banking & Finance)
Enyndah Ibenyenwon,NRC,Ikwerre,23/09/1963,Master Degree in Ind. Chemistry & MBA (Finance)
Bassilo Michael,NRC,Ogbia,05/01/1959,Majored in Economics
Felix Achinke Igwe,SDP,Obio/Akpor,12/07/1959,Diploma in Technology (Electrical)
Syder Nnodim,SDP,Emochua,17/05/1943,Studied Medicine
Telimoye M. Oguara,NRC,Brass,,P.hd in Civil Engineering
Sampson Gilbert Egop,NRC,Andoni/Opobo,26/12/1958,Graduate
