Name,Party,Constituency,Date of Birth,Education
Tarka Simeon Mbakorkaa,NPN,Gboko West,24/08/53,
Ugo Joseph Kaityo,NPN,Aliade,31/12/43,Diploma in Law
Abogede Senator Andrew,,Ankpa,24/10/26,
Chaha Benjamin Akari,NPN,Katsina Ala,1940,Teachers Grade III & II Certificate.
Adoyi Samuel Ojoban,NPN,Okpokwa West,01/02/41,Diploma in Public Health
Alhaji Gambo,GNPP,Gujba,1930,
"Gadaka, M. Barde",GNPP,Fika,1949,Grade II Teacher's Certificate
Ma'aji Mallam Maina,GNPP,Kukawa South,12/07/54,WASC; B.Sc. (Business Admin.)
Mele Bukar,GNPP,Marchima/Yusufari,15/05/53,WASC; B.A. History and Political Science
Ngajiwa Hamza Miyin,GNPP,Biu,1940,Grade II Teacher's Cert; B.A. (Education)
"Haruna, Jidda",GNPP,Monguno/Marte/Bo,April 1930,
Waba Agwama Apagan,NPN,Askira/UBA,18/10/1946,"Grade II Teacher’s Certificate; N.C.E, B.A. (Hons)"
Adoga Charles Aleje,NPN,Ogoja,13/03/30,Sufficiently literate
Idang Gordon J. Idang,GNPP,Etinan II,08/08/1939,"B.Sc. Political Science, M.A, Ph.D"
Agbor Cornelius Okpa,NPN,Obubra,1941,B.A. (Hons.) History
Akpabio Micheal,NPN,Uyo II,24/05/42,LL.B (Hons.)
