Name,Party,Constituency,Date of Birth,Education
Abubakar Sadiq Digari,ANPP,Suru/Bagudo,August 1952,Diploma in Health Service Administrative Management
Ibrahim Bawa Kamba,ANPP,Arewa/Dandi,July 1954,Post Graduate Diploma in Management
Garba Umaru Uba Yauri,ANPP,Yauri Shanga Ngaki,June 1962,Secondary School Leaving Certificate
Itaka Frank Ineke,ANPP,Idah/Ofu/Ibaji/Igalamela-Odolu,September 1958,"Bachelor Degree in Law, M.I.L.D. & Barrister at Law"
Isaac Ruzama Jimba,ANPP,Bassa/Dekina,October 1948,Post Graduate Diploma in Public Administration
Okino Moses Ado,ANPP,Ajaokuta,August 1949,Bachelor of Science in Economics
Aliyu Omeiza Saiki,PDP,Adavi/Okehi,August 1963,Bachelor Degree in Law
Faniyi J. Tolorunjuwon,PDP,Yagba,August 1960,"Bachelor of Science, Master of Business Admin."
Musa Ibrahim Ahmadu,PDP,Lokoja/Kogi,July 1953,"Masters of Art in Economics, Master of Art in Inter'l Relation"
Durosinmi Meseko,PDP,Kabba/Bunu/Ijumu,May 1966,Bachelor of Science (Political Science)
Abdulazeez Idris King,PDP,Kiru/Bebeji,June 1970,Bachelor's Degree in Agriculture
Ali Aidoko U. Atai,PDP,Ankpa/Olamaboro/Omala,October 1970,OND in Town Planning
Ogundairo S. Ajibade,PDP,Asa/Ilorin West,April 1944,"M.ED, Educational Admin."
E. Zulukaranami Oladimeji,PDP,Ilorin South/East,October 1960,B.Sc (Hons) Statistics
Yahaya Ahmed Yinusa,PDP,Edu/Moro/Patigi,June 1957,Member of Association of Nigerian Tech. Engineering
Makanjuola Gbenga Peter,PDP,Isin/Ekiti/Irepodun/Oke-Ero,July 1967,L.L.B (Hons) B.L.
