Name,Party,Constituency,Date of Birth,Education
Isa Mohammed,PRP,Jahun,1940,
Lawan Mohammed,NPN,Kunchi/Isanyawa,1947,
Junaidu S. Muhammed,PRP,West Ward,06/09/31,
Mustapha Muhammed,PRP,Rimingado,02/10/40,
M. I. Mustapha,PRP,Gaya South,01/12/47,B.Sc Geography
Moh'd Lawal Na-Rogo,PRP,Karaye,30/12/52,
Umaru Sadiq,,Kumbotso,,
A. Musa Salihi,,Kunkure,,
M. Rabiu Sha'aibu,,Ringim Gado,,
Bako Sitti,PRP,Suma' Ila,1938,
Rabiu Tabako,PRP,Gwarzo,1946,
Labaran Tanko,PRP,South East,14/04/43,
Tafida Usman,PRP,Kazaure,1928,
Moh'du A. Tudun-Wada,PRP,Waje/Nasarawa,16/11/1948,
B. Wudil,PRP,Wudil,15/06/40,
M. Mutari Adamu,PRP,Dutse,12/12/1947,
