Name,Party,Constituency,Date of Birth,Education
Orji Uzor Kalu,,Bende,21/04/1960,University of Maiduguri
Abubakar U. AL-Uma,NRC,Yola,21/10/1957,B.A in Islamic Studies & Sociology
Musa Bubakari Kamale,NRC,Michika,"April, 1955",B. Sc in Econs & M.B.A
Michael U. Angilda,NRC,Madagali,03/03/1963,M.Sc (Architecture)
Adiel Edmund Olse,NRC,Numan,22/10/1964,"Attended Fed Govt. College, Ogbomosho"
Ahmed Hassan Barata,NRC,Shelleng,13/02/1963,"Teacher's College, Shuwa"
Godfrey Ayuba Yoila,SDP,Demsa,28/11/1959,Diploma in Journalism/ Mass Communication
Abdulrahman A. Bobbu,NRC,Gombi,"July, 1960",L.LB
Munun G. Mapundi,NRC,Jada,15/05/1953,Diploma in Tourism
Musa Janro,NRC,Mubi,20/03/1950,"HND in Agriculture, & Advanced Diploma"
Aliyu Audu Mustapha,NRC,Macha,1957,Post Graduate Certificate in Theatre Management
Nashon Gubi Nabi,NRC,Mayo Belwa,1948,Grade II Certificate from Numan
Abdulmumini Umar,NRC,Ganye,24/06/1965,LLB
Ethan Yusuf,SDP,Hong,31/12/1947,Diploma in Community Health
Ethan L. Dangtibiya,NRC,Song,1950,N.C.E
Umaru Hamman Tukur,NRC,Fufore,17/03/1960,LL.B
