Name,Party,Constituency,Date of Birth,Education
Bala Ya'u,ANPP,Kumbotso,December 1967,SSCE
Ada'u Isa Rano,ANPP,Rano/Kibiya/Bunkure,May 1945,Master Degree in Public Administration
Wakili Aliyu,ANPP,Wudil/Garko,February 1958,Higher National Member from Medical Institute Plovdiv Bulg.
Umaru I. El-Yakubu,ANPP,Kano Municipal,January 1967,National Diploma in Banking & Finance
Bashir Y. Burum,PDP,Tudun Wada/Doguwa,December 1954,Grade II Teachers' Certificate
Umaru Datti Kura,PDP,Kura/G/Mallam/Madobi,1952,Grade II Course on Local Government Management
Sani Saleh Minjibir,ANPP,Ungogo/Minjibir,January 1966,Master of Science in Architecture
Nasiru Abduwa Gabasawa,PDP,Gezawa/Gabasawa,1958,Advance Diploma in Public Administration
Sirajo Harisu,PDP,Dambatta/Makoda,December 1956,Certificate
Danlami Hamza,ANPP,Fegge,August 1951,Master of Arts
Azumi N. Bebeji,ANPP,Kiru/Bebeji,June 1950,Bsc in Political Science
Adamu Barde Tatsan,PDP,Tsanyawa/Kunchi,October 1950,B.Sc. in Pharmacy
Yusuf Dikko,PDP,Batgarawa/ Rimi Charachi,December 1947,Diploma in Public Account and Audit
Usman Mani Nasarawa,PDP,Kankia/Ingawa/Kusada,February 1952,HND in Town Planning
Usman M. Bugaje,PDP,Jibia/Kaita,December 1951,Doctorate Degree (Ph.D)
Idris Tukur Nadabo,ANPP,Bakori/Danja,August 1932,Advance Clerical Certificate
