Name,Party,Constituency,Date of Birth,Education
Bello Maitama Yusuf,APP,Jigawa Central,04/04/1947,LL.D Degree in Law
Muhammed Ibrahim,APP,Jigawa East,1952,GCE
Mohammed D. Alkali,PDP,Jigawa North West,17/01/1950,Diploma in Business Studies (Management)
Muktar A. Mohammed,APP,Kaduna Central,05/02/1948,"CPL, ATP, A&E Engineering"
Dalhatu S. Tafida,PDP,Kaduna North,24/11/1940,Medical Degree; BS MRCP and Doctor of Philosophy
Haruna Zego Aziz,PDP,Kaduna South,05/07/1942,City & Guilds of London Flying Licences and Mgt Cert.
Masa'ud El-Jibril Doguwa,PDP,Kano South,1955,B.Ed Administration and Planning Degree
Bello Hayatu Gwarzo,PDP,Kano North,14/04/1960,ND in Statistic
Ibrahim Kura Mohammed,PDP,Kano Central,1945,Bachelor of Arts in Bus. Administration
Mohammed T. Liman,PDP,Katsina South,12/02/1948,Master in Public Admin.
Samaila Mamman,PDP,Katsina Central,18/07/1945,PGD
A. U. Yandoma,PDP,Katsina North,03/07/1953,Advanced Diploma Pub. Admin.
Adamu Baba Augie,APP,Kebbi North,,HND in Mass Communication
Abubakar N. Abdullahi,APP,Kebbi Central,30/06/1947,Master of Arts in Dev. Economics
Danladi Bamaiyi,PDP,Kebbi South,26/11/1950,Bachelor of Law Degree
Ahmed Tijani Ahmed,PDP,Kogi Central,29/05/1943,Masters degree in English
