Name,Party,Constituency,Date of Birth,Education
Ali Amadu Adah,NPN,Benue West,01/03/1936,
Abogede Andrew,NPN,Benue North-Central,02/10/1926,
Chia Suemo,NPN,Benue East,1943,
J. S. Tarka,NPN,Benue,,
Sanda Bukar,GNPP,Borno West,1940,
Kadi Idrisa,GNPP,Borno North-Central,1926,
Manga Ja'afar Jarafu,GNPP,Borno South,15/10/1933,
Bama Umaru Lawan,GNPP,Borno East,29/09/1936,
Lawan Mohammed Girgiri,NPN,Borno North-West,19/09/1944,
Etiebet Donald Dick,NPN,Ikot Ekpene,1934,
Wayas Joseph,NPN,Ogoja,21/05/1941,
Akan Victor,NPN,Eket,1938,
Ansa Joseph Oqua,GNPP,Calabar,20/07/1940,
Daniel George Asuquo,GNPP,Uyo,30/07/1931,
Zing Luka Zanya,UPN,Muri,02/01/1940,
Waziri Mahmud,GNPP,Adamawa,13/12/1936,
