Name,Party,Constituency,Date of Birth,Education
Tanko Jaji,PRP,Zaria-North-West,25/01/28,
Mohammadu Ali Kaita,NPN,Kaita,02/02/44,
Magaji Kankara,NPN,Kankara,07/07/37,
Bala Kantoma,NPN,Kaduna,12/04/45,
Samuel B. Magani,NPP,Zongo-kataf,21/04/44,
Datti M. A. Malumfashi,PRP,Malumfashi,13/03/43,"Diploma in Accounting Cost Price, Budget & Investment Policy"
Garba Musa,NPN,Jibiya,1952,
Ibrahim Nagodiya,PRP,Lere,23/11/30,
Audu Paki,,Ikara-Kubau,,
Shehu Ruma,,Batsari,,
Shehu Y. Runka,,,,
Rabiu Sabiu,,Funtua,,
Mohammed Kabir Umar,,Kaduna South,1945,
Badamasi U. Yamma,PRP,Faskari,1943,
Abubakar Yunusa,NPN,Chawai Kauru,1944,
Ahmed Tijani Yusufu,NPN,Ingawa,"October, 1945",
