Name,Party,Constituency,Date of Birth,Education,State
Enwereuzor Eze Anthony,APP,Aba North/South,18/08/1951,(MBA) Finance,Abia
Ohuabunwa M. Arukwe,PDP,Arochukwu/Ohafia,24/05/1957,HND/Bachelor of Technology in Microbiology Bsc.,Abia
Macebuh Chinonyerem,PDP,Ukwa East/Ukwa West,8/07/1956,Bachelor Engineering,Abia
Iheanacho Obioma,PDP,Ikwuano/Umuhia North/South,17/04/1960,Bachelor Degree in Econs,Abia
Nwakanma Chimaobi,PDP,Isiala Ngwa North/ South,16/04/1944,Masters Degree in Marketing,Abia
Njoku Nnamdi,PDP,Bende,19/09/1963,Bachelor Degree,Abia
Uchechukwu N. Maduako,PDP,Isuikwato/Munneochi,02/02/1960,"MBA, Business Admin.",Abia
Clifford Ohiagu,PDP,Obingwa/Osisioma/ Ugwunagbo,31/10/1942,Doctoral Degree in Crop Protection,Abia
Maxwell Bulama,APP,Hong/Igombi,15/11/1950,Bachelor Degree in Business Administration,Adamawa
Barata Ahmed Hassan,PDP,Guyuk/Shelleng,13/02/1960,Diploma in Public Accounts & Audit,Adamawa
Babale Martin,PDP,Jada/Ganye/Mayo Belwa/ Toungo,1958,National Diploma in Agric Engineering,Adamawa
Gella Njida Ahmed,PDP,Mubi/MU/S/Maiha,1957,Diploma from College of Business Studies,Adamawa
Tukur Awwal D.,PDP,Yola North/Yola South/ Girei,25/03/1965,Bachelor of Law Degree; LLB,Adamawa
Gurin Nuhu Borbo,PDP,Fufore/Song,24/03/1958,Diploma in Sociology & Social Anthropology,Adamawa
Betu Mamuno,PDP,Demsa/Numan/Lamurde,30/10/1947,Bachelor of Law Degree,Adamawa
Kwaghe Ishaku Terei,PDP,Yola North/South Girei,,,Adamawa
Esu Tony Ibana,PDP,Ikot Ekpene/Essein Udim/ Ubot Akara ibana,04/08/1959,MBA in Finance,Akwa Ibom
Emaeyak N. Ukpong,PDP,Uyo/Uruan/Nsit Ata/ Ibeskip Asutan,26/04/1956,Ph.D in Industrial/ Environmental Microbiology,Akwa Ibom
Nduese Essein,PDP,Eket,02/02/1944,B.Sc (Hons.) in Business Administration,Akwa Ibom
Akpan Eno Sampson,PDP,Ukanafun/orukanam,25/07/1954,"HND, NNA",Akwa Ibom
Eyo Eno Akaninyene,APP,Abak,23/11/1966,Diploma (FIBAC) in Physiology /Pharmacology,Akwa Ibom
Udoh Bernard A. U.,PDP,Ikot Abasi/Mkpatenin/ Eastern Obolo,16/10/1962,Business Management,Akwa Ibom
Ita Solomon,PDP,Itu/Ibiono Ibom,23/08/1962,Bachelor of Law Degree,Akwa Ibom
Udoh Esio Oquong,PDP,Oron/Mbo/Okobo/Urue Offong/Oruko/Udung-Uko,13/04/1953,Doctoral Degree in General Medicine,Akwa Ibom
Minimah Iquo Iyang,PDP,Ikono/Ini,28/09/1965,Bachelor of Law Degree,Akwa Ibom
Bassey Asuquo Emah,PDP,Etinan,21/05/1956,Bachelor of Law Degree,Akwa Ibom
Ikpeazu Lynda Chuba,PDP,Onitsha North/South,22/06/1965,Bachelor Degree in Communication,Anambra
Okeke Fredrick A. U.,PDP,Ihiala,26/09/1945,Master Degree in Business Law,Anambra
Offodile Chudi,PDP,Awka North/South,19/11/1964,Bachelor of Law Degree & Post Graduate Diploma (Marketing),Anambra
Nnanyelugo Chukwu Chikelu,PDP,Anaocha/Njikoka/ Dunukofia,10/10/1966,Bachelor of Science Degree in Political Science & Public Admin.,Anambra
Uzoka Okwudili,,Ogbaru,26/10/1942,"Bachelor of Science in Agric., Economics",Anambra
Duru Chidi Okechukwu,PDP,Aguta,12/11/1966,Bachelor of Law Degree,Anambra
