Name,Party,Constituency,Date of Birth,Education,State
"Okwu, Basil Charles",NPP,Anambra Central,23/08/1923,,Anambra
Obi Onyeabo,NPP,Anambra West,20/11/1938,,Anambra
Anah Nathaniel N.,NPP,Anambra South,29/09/1931,,Anambra
Ani Isaiah Nnamani,NPP,Anambra North,16/06/1933,,Anambra
Offia Nwali,NPP,,,,Anambra
Waziri Ibrahim Jalo,NPN,Bauchi East,1926,,Bauchi
Dimis Ibrahim,NPN,Bauchi South,01/10/1927,,Bauchi
Ahmed Mohammed Uba,NPN,Bauchi South East,20/04/1939,,Bauchi
Rufa'i Ahmadu Damyama,NPN,Bauchi Central,08/1919,,Bauchi
A. Yelwaji,NPN,,1936,,Bauchi
Dafinone David Omueya,NPN,Bendel South,12/03/1927,,Bendel
Umolu John Osiomele,UPN,Bendel North,1919,,Bendel
Akpata E. Idahosa O.,UPN,Bendel Central,14/05/1919,,Bendel
Atake Franklin O. M.,UPN,Bendel Delta,06/05/1928,,Bendel
Ikpo Nosike,UPN,Bendel East,21/03/1933,,Bendel
Ebute Ameh,NPN,Benue South-Central,16/09/1946,,Benue
Ali Amadu Adah,NPN,Benue West,01/03/1936,,Benue
Abogede Andrew,NPN,Benue North-Central,02/10/1926,,Benue
Chia Suemo,NPN,Benue East,1943,,Benue
J. S. Tarka,NPN,Benue,,,Benue
Sanda Bukar,GNPP,Borno West,1940,,Borno
Kadi Idrisa,GNPP,Borno North-Central,1926,,Borno
Manga Ja'afar Jarafu,GNPP,Borno South,15/10/1933,,Borno
Bama Umaru Lawan,GNPP,Borno East,29/09/1936,,Borno
Lawan Mohammed Girgiri,NPN,Borno North-West,19/09/1944,,Borno
Etiebet Donald Dick,NPN,Ikot Ekpene,1934,,Cross River
Wayas Joseph,NPN,Ogoja,21/05/1941,,Cross River
Akan Victor,NPN,Eket,1938,,Cross River
Ansa Joseph Oqua,GNPP,Calabar,20/07/1940,,Cross River
Daniel George Asuquo,GNPP,Uyo,30/07/1931,,Cross River
Zing Luka Zanya,UPN,Muri,02/01/1940,,Gongola
Waziri Mahmud,GNPP,Adamawa,13/12/1936,,Gongola
Audu Iliya Galiya,NPN,Wukari,01/01/1940,,Gongola
Gilama Gayus,UPN,Numan,1926,,Gongola
Kajal Bitrus Bzigu,GNPP,Mubi,15/05/1943,,Gongola
Wachuku Jaja Anucha,NPP,Aba,01/01/1918,,Imo
Anyanwu Tony,NPP,Owerri,24/12/1941,,Imo
Echeruo Emeka Patrick,NPP,Okigwe,11/06/1939,,Imo
Emezie Elijah Ebonine,NPP,Orlu,11/02/1933,,Imo
