Name,Party,Constituency,Date of Birth,Education,State
Alo-Nwokeocha Martins Godwin,NPP,Abakaliki East Central,20/06/49,B.Sc geography,Anambra
Nwangbo Nwegede,NPP,Ishielu East,1935,,Anambra
Nwankwo Andrew Ogbonnia,NPP,Abakaliki North West,25/07/41,"Higher Diploma in Economics, B.Sc. Marketing",Anambra
Nweke Eddy Nkem,NPP,Nkanu,1939,Diploma in Electrical/Electronics Engineering,Anambra
Nwandison Francis N. C.,NPP,Oji River/Awgu South,10/10/40,Typewriting & Stenography,Anambra
Okeke Peter Chidozie,NPP,Agwu North East,24/06/43,"R.S.A Intermediate Stage II, Certificate",Anambra
Okoye Mark Chukwuemeka,NPP,Njikoka North,10/06/51,B.Sc. Civil Engineering,Anambra
Ogbobe Aka,NPN,Igbo Etiti,"Aug., 1932",Diploma Structural Engineering,Anambra
Oreh Onuma Onwuka,NPN,Arochukwu/Abam,,"Diploma in Ed, Ph.D",Anambra
Ojukwu Juventus Chijioke,NPP,Idemili,2/06/1942,Cert. in Public Relation,Anambra
Ufondu I. Benjamin Ahmed,NPP,Nkanu,,"Ph.D Clinical Psychology, Ph.D Int'l Law, MA social Sci., BA Political Science-Int’l Relations.",Anambra
Ugwu Chika Frank,NPP,Nsukka Urban,25/10/38,B.Sc Economics,Anambra
Ugwu Michael Okonkwo,NPN,Udi,17/06/39,"B.Sc. Engineering, Diploma Electronic Engineering",Anambra
Ugota Jacob Alichi,NPN,Akko-Pindigo,1940,Teachers Grade III & II,Anambra
Okwu Basil Charles,NPP,Anambra Central,23/08/23,Senior Teachers Certificate,Anambra
Aliyu Babaji Giade,NPN,Shira and Yana,1947,"Diploma in Law, Diploma in Islamic Law, L.LB (Hons), B.L.",Bauchi
Bornoma Mohammed,NPN,Akko/ Pindiga,1925,Diploma in Local Govt. & Accounts,Bauchi
Bornoma Mohammed,NPN,Tangale-Waje North,1925,,Bauchi
Labaran Mohammed Kano,NPN,Darazo-Sale,1952,"Teachers Grade II Certificate, Diploma in Accounting",Bauchi
Poloma Nuhu,NPN,Tangale-Wage,02/02/41,Diploma in International Intelligence,Bauchi
Agbamuche Michael Ashikodi,NPP,Oshimili,16/08/20,"LL.B (London), BL",Bendel
Joseph Bayodele Balogun,UPN,Akoko Edo,27/03/29,Diploma in Certificate in Automobile,Bendel
Egwuwoke Tom,UPN,Isoko,01/10/40,"B.Sc. (Econs), M.I.B. (London)",Bendel
Momodu Z. Amen,UPN,Etsako,06/09/31,OND Criminal Detective,Bendel
Owie Roland,UPN,Orhionmwon,28/08/45,"BA Geography, Certificate in Personnel Management",Bendel
Sowho Ebinwhe Joseph,NPN,Ethiope North,18/03/37,,Bendel
Uwechue George Nwokocha,NPP,Aniocha,30/11/38,"West African School Certificate, LL.B Second Class Hons (Lond)",Bendel
Nwoseh Martins,UPN,Ndokwa,11/07/35,"University GCE, ACIS (Intermediate)",Bendel
Ogwe Ogwe Kalu,NPP,Bende,31/12/37,"LL.B. (Hons), Diploma in Business Organization (Lond)",Bendel
Omoruwa Benjamin,UPN,Warri,10/11/25,B.L. (London),Bendel
Agi David Okwoche,NPN,Oji,31/12/46,B.Sc. (Social Science),Benue
Abu Joel Ochimana,NPN,Dekina/Basa,12/06/41,General Certificate of Nursing,Benue
Tarka Simeon Mbakorkaa,NPN,Gboko West,24/08/53,,Benue
Ugo Joseph Kaityo,NPN,Aliade,31/12/43,Diploma in Law,Benue
Abogede Senator Andrew,,Ankpa,24/10/26,,Benue
Chaha Benjamin Akari,NPN,Katsina Ala,1940,Teachers Grade III & II Certificate.,Benue
Adoyi Samuel Ojoban,NPN,Okpokwa West,01/02/41,Diploma in Public Health,Benue
Alhaji Gambo,GNPP,Gujba,1930,,Borno
"Gadaka, M. Barde",GNPP,Fika,1949,Grade II Teacher's Certificate,Borno
Ma'aji Mallam Maina,GNPP,Kukawa South,12/07/54,WASC; B.Sc. (Business Admin.),Borno
Mele Bukar,GNPP,Marchima/Yusufari,15/05/53,WASC; B.A. History and Political Science,Borno
Ngajiwa Hamza Miyin,GNPP,Biu,1940,Grade II Teacher's Cert; B.A. (Education),Borno
"Haruna, Jidda",GNPP,Monguno/Marte/Bo,April 1930,,Borno
Waba Agwama Apagan,NPN,Askira/UBA,18/10/1946,"Grade II Teacher’s Certificate; N.C.E, B.A. (Hons)",Borno
Adoga Charles Aleje,NPN,Ogoja,13/03/30,Sufficiently literate,Cross River
Idang Gordon J. Idang,GNPP,Etinan II,08/08/1939,"B.Sc. Political Science, M.A, Ph.D",Cross River
Agbor Cornelius Okpa,NPN,Obubra,1941,B.A. (Hons.) History,Cross River
Akpabio Micheal,NPN,Uyo II,24/05/42,LL.B (Hons.),Cross River
Ekpo Edet Asuquo,NPN,Uyo III,1923,"Std. VI, Middle II",Cross River
Etienam Edet Bassey,NPN,Oron,22/01/38,Certificate in Industrial Relations,Cross River
Effiong Martin Okon,UPN,Oron III,12/06/25,Diploma in Agriculture,Cross River
Eddy Okon,NPN,Ikot Ekpene I,30/09/39,"Teacher's Grade II, Dip. Social Admin., GCE A/L",Cross River
Inyang Edet Udoh,NPN,Ikono,09/10/31,"B.A, (Econs, Law & Accountancy) ACA, FCA",Cross River
Ikpeme Okon,GNPP,Akamkpa,12/08/30,Teacher's Higher Elementary Certificate,Cross River
Ononokpono Effiong,UPN,Oron I,11/11/64,"Diploma Cooperative and Labour Mgt., Cert. Social Studies & Dev.",Cross River
Ojogu Ekok,NPN,Obubra,05/02/40,"Teacher's Grade II, Grade III M.Sc Political Science",Cross River
Okoi Lekam Ofem,NPN,Obubra,02/02/40,"LL.B. (Hons.), B.L.",Cross River
Ukpong M.B.,NPN,Abak,29/09/40,"M.Sc (Pub. Admin), MPA M.Sc (Pub. Admin), Ph.D",Cross River
Ukpong David Akpan,NPN,Itu,1947,"Teachers Grade II Cert., B.Sc (Pol. Sci)",Cross River
