Name,Party,Constituency,Date of Birth,Education,State
F. C. Adigwe,NPP,Akwa,05/11/43,,Anambra
I. U. Chima,NPP,Ezza,02/02/50,,Anambra
E. C. Emekaekwue,NPP,Onitsha South,24/06/27,,Anambra
J. C. Emeka,NPN,Anambra North,,,Anambra
J. C. Eze,NPP,Uzo-Uwani,24/11/32,,Anambra
C. A. Modebe,NPP,Awka,11/04/32,,Anambra
F. E. Ndukwe,NPP,Ihiala,23/03/31,,Anambra
J. C. Ngwu,NPP,Isi-Uzo,,,Anambra
Francis N. C. Nwandison,NPP,Orji River/Agwu South,10/10/40,Type writing & Stenography,Anambra
Nwegede Nwangbo,NPP,Ishielu East,1935,,Anambra
Andrew O. Nwankwo,NPP,Abakaliki North/West,25/07/43,"Higher Diploma in Econs, B.Sc Marketing.",Anambra
Eddy Nkem Nweke,NPP,Nkanu,1939,Diploma in Electrical/Electronic Engineering,Anambra
M. G. Alo Nwankocha,NPP,Abakaliki East-Central,20/06/49,,Anambra
Aka Ogbobe,NPN,Igbo-Etiti,"August, 1932",Diploma in Structure Engineering,Anambra
Juventus C. Ojukwu,NPP,Idemili,02/06/42,Cert in Public Relations,Anambra
Nweke Ayigor Okeazu,,Ikwo,,,Anambra
Peter C. Okeke,NPP,Agwu North/East/West,29/06/43,Cert R.S.A Intermediate Stage II,Anambra
Joeseph Okoli,NPP,Ezeagu,12/10/39,,Anambra
Mark C. Okoye,NPP,Njikoka North,10/06/51,B.Sc Civil Engineering,Anambra
J. O. Okoye,NPP,Aguata South,29/07/35,,Anambra
David A. Omeke,NPP,Igbo-Eze North,31/12/32,,Anambra
D. M. Onwuzulike,NPP,Aguata North/West,18/10/34,,Anambra
G. N. Ozugha,,Anambra South,18/02/1940,,Anambra
Ifeanyi Ofondu,NPP,Enugu,12/05/48,,Anambra
J. Ugota,NPP,Ishielu West,1940,Grade II & III Teacher's Certificate,Anambra
F. C. Ugwu,NPP,Nsukka,25/08/38,,Anambra
Michael O. Ugwu,NPN,Udi,17/06/39,"B.Sc in Eng'g, Diploma Electronic Engineering.",Anambra
Edwin-Ume Ezeoke,NPP,Nnewi,08/09/35,LLB,Anambra
Salihu Adamu,NPN,Ningi,02/11/44,Dip. in Acct. & Audit,Bauchi
Babaji Aliyu,NPN,Shira,1947,"Dip in Law, Dip in Islamic L.L.B, B.L",Bauchi
Yakubu B. Aliyu,NPN,Katagum East,1939,,Bauchi
Mohammed Bawa,NPN,Misau,1947,,Bauchi
Hamza Gombe,NPN,Misau,1916,,Bauchi
Bello C. Gwaram,,Akko-Pindiga,,,Bauchi
Irmiye Hassan,,Gombe,,,Bauchi
Mohammed Hassan,NPN,Alkaleri,01/12/28,,Bauchi
Yunusa Kaltungo,NPN,Tangale-Waja South,24/05/35,,Bauchi
Mohammed K. Labaran,NPN,Darazo-Sale,1952,,Bauchi
Ahmadu Mohammed,,Tangale-Waja South,,,Bauchi
Nuhu Poloma,,Darazo-Sale,02/02/41,Diploma in International Intelligence,Bauchi
Mohammed A. Shamaki,,Katagum,26/11/45,,Bauchi
Kaulaha Aliyu,NPN,Katagum East,1953,,Bauchi
Adamu Yarima,GNPP,Dukku West,02/02/45,,Bauchi
Y. G. Zambuk,NPN,Yamultu-Deba,09/04/42,,Bauchi
Aliyu Kafin Madaki,NPN,Ganjuwa,,,Bauchi
Ahmadu Nafada Mohammed,PRP,Dukku East,,,Bauchi
Isa Yakubu Toro,NPN,Toro,1949,,Bauchi
Irmuja D. Hassan,NPP,Dase-Tafawa Balewa,"February, 1947",,Bauchi
Mohammed Bornoma,NPN,Akko-Pindiga,1925,Diploma in Local Govt & Accounts,Bauchi
Abubakar Tuggar,NPN,Gamawa,,,Bauchi
C. F. Abeki,UPN,Bomadi,15/09/39,,Bendel
Michael A. Agbamuche,NPP,Oshimili,16/08/20,"L.L.B, B.L",Bendel
A. E. Ayomanor,NPN,Okpe,03/08/37,"LLB, BL",Bendel
Joseph B. Balogun,UPN,Akoko Edo,27/03/29,Diploma Cert. in Automobile,Bendel
Tom Egbuwoku,UPN,Isoko,01/10/40,B.Sc in Econs. M.L.B,Bendel
P. A. Gbinije,NPN,Ethiope South,1926,School Cert.,Bendel
P. E. S. Ideh,NPN,Ughelli,03/11/33,,Bendel
R. A. Iduwe,UPN,Ika,28/08/31,,Bendel
F. O. Iyayi,UPN,Okpebho,"December, 1925",,Bendel
Amen Z. Momodu,UPN,Etsako,06/09/31,OND Criminal Detective,Bendel
M. Nwose,UPN,Ndokwa,11/07/35,"University G.C.E, ACIS (Intermediate)",Bendel
P. Eguaseki Ogida,UPN,Oredo,28/02/53,,Bendel
M. O. Okun,UPN,Owan,1944,,Bendel
Benjamine Omoruwa,UPN,Warri,10/11/25,B.L,Bendel
Gordon J. Idang,GNPP,Etinan II,08/08/39,,Bendel
Ebinwhe J. Sowho,NPN,Ethiope North,18/03/1937,Medical Doctor,Bendel
R. I. Uneh,UPN,Agbazilo,27/11/38,,Bendel
B. I. Uwagboe,NPN,Ovia,23/06/20,,Bendel
George N. Uwechue,NPP,Aniocha,30/11/38,"W.A.S.C, L.L.B",Bendel
J. M. Zuokumor,NPN,Burutu,07/04/35,,Bendel
Roland Owie,,Orhionmwon,28/08/45,"B.A in Geography, Cert in Personnel Mgt.",Bendel
Joel O. Abu,NPN,Bassa/Dekina,12/06/41,General Cert of Nursing,Benue
A. D. O. Abutu,NPN,Ankpa South,17/01/1937,,Benue
D. Afaityo,NPN,Okpokwu West,27/12/45,,Benue
David Okwoche Agi,NPN,Gboko East,31/12/46,,Benue
D. Y. Atanu,,Oju,,,Benue
David Attah,NPP,Okpokwu East,25/09/45,,Benue
P.D. Awuna,NPN,Gwer West,11/07/39,,Benue
Benjamin A. Chaha,NPN,Katsina-Ala,1940,Grade II & III Teacher's Certificate,Benue
E. Ejiga,NPN,Oturkpo,05/10/40,,Benue
S. I. Idakwo,NPN,Idah North,01/11/1936,,Benue
V. Iortim,NPN,Makurdi,1948,,Benue
Peter Kor,NPN,Makurdi,09/11/36,,Benue
Isaac Shaahu,,Kwande East,,,Benue
E. K. Swem,NPN,Kwande West,1927,,Benue
S. M. Tarka,NPN,Gboko West,23/08/53,,Benue
Joseph K. Ugo,NPN,Gwer East,31/12/43,Diploma in Law,Benue
A. Usman,,Ankpa North,,,Benue
J. U. Uyeh,NPN,Vandeikya East,20/04/32,,Benue
S. O. Adoyi,NPN,Okpokwu West,21/02/41,Diploma in Public Health,Benue
Abba Ali,GNPP,Bama,1932,,Borno
Bulama Ali,GNPP,Fune,10/12/48,,Borno
Ibrahim M. Ali,GNPP,Maiduguri,1948,,Borno
Gambo Alhaji,GNPP,Gujba,"May, 1922",,Borno
Agwana Apagu Waba,NPN,Askira Uba,18/10/46,,Borno
Umar Bukar,GNPP,Ngala East,1948,,Borno
Umar Lawan,GNPP,Geidam South,21/09/32,,Borno
Mohammed Dagari,GNPP,Nguru Central,"June, 1946",,Borno
Kachalla Damaturu,GNPP,Damaturu,,,Borno
Barde Gadaka,GNPP,Fika South,1948,Grade II Teacher Cert.,Borno
Jidda Haruna,GNPP,Monguno,April 1930,,Borno
Mohammed Zannah Juggal,,Dambo'a,1939,,Borno
Sanda Konduga,GNPP,Konduga,1936,,Borno
Tijani Lawan,GNPP,Ngala West,1949,,Borno
Bukar Limambe,GNPP,Kukawa North-West,"November, 1942",,Borno
Maina Ma'aji,GNPP,Kukawa South-West,12/07/1954,W.A.S.C. B.Sc (Bus. Admin),Borno
Audu Mbico,GNPP,Gwoza,1949,,Borno
M. Bukar Mele,GNPP,Matchina,15/05/53,"W.A.S.C, B.A in History & Pol. Science",Borno
Paul K. D. Mshelia,GNPP,Biu South,05/03/42,,Borno
Hamza M. Nganjiwa,GNPP,Biu North,1940,"B.A in Education, Grade II Teacher Cert.",Borno
Lawan Omar,GNPP,Kaga,21/09/32,,Borno
A. A. Suleiman,NPN,Bade,,,Borno
Idrissa Madi Tikau,,Fika North,,,Borno
Kolo Lawan Yusuf,GNPP,Geidam North,01/01/54,,Borno
Charles A. Adoga,NPN,Ogoja,13/03/1930,School Cert.,Cross River
Cornelius Okpa Agbor,NPN,Obubra I,31/04/41,B.A History,Cross River
Micheal J. Akpabio,GNPP,Uyo II,24/05/42,"LLB, BL",Cross River
A. U. Awa-Ekpo,NPN,Eket II,22/12/1937,"M. Sc, MPA",Cross River
Samuel Udo Bassey,,Eket II,,,Cross River
Okon E. Eddy,NPN,Ikot Ekpene I,30/09/39,,Cross River
Effiom-Ita Effiom,NPN,Odukpani,03/03/36,,Cross River
Okon John Ekpenyong,,Uyo I,,,Cross River
Edet Asuquo Ekpo,,Uyo III,1923,,Cross River
V. U. Ekpo,NPN,Ikot-Abasi I,05/05/33,,Cross River
D. O. Eshiet,,Ukanafun II,,,Cross River
Edet Bassey Etienam,NPN,Oron II,22/01/1939,Cert in Industrial Relation,Cross River
Thomas Ekpo Etuk,NPN,Eket III,26/06/35,,Cross River
Asuquo E. Eyo,NPN,Calabar,01/05/23,,Cross River
Imeh J. Ikpatt,NPN,Etinan,06/08/40,,Cross River
Okon Ikpeme,NPN,Akamkpa,12/08/1930,Teacher Higher Elementary Cert.,Cross River
Alfred A. Inoh,GNPP,Ikot Abasi II,15/01/46,"City & Guilds, Cert in Automobile Engineering.",Cross River
Edet Udo Umo,NPN,Ikono,09/10/31,,Cross River
Ekok Ojogu,NPN,Ikom,05/02/40,"Grade II & III Teacher's Cert, M.Sc Pol. Science",Cross River
Lekam Ofem Okoi,NPN,Obubra II,02/02/40,"L.L.B, B.L",Cross River
Effiong Ononokpono,UPN,Oron I,11/11/41,"Dip. Co-operative & Labour Mgt, Cert in Social Studies & Dev",Cross River
Martin O. Effiong,UPN,Oron III,12/06/45,Diploma in Agric,Cross River
Akaninyene Ukpanah,NPN,Ukanafun,12/08/1934,"NPS, Diploma Pharmacy",Cross River
David Akan Ukpong,NPN,Itu,1947,Teacher's Grade II Cert.,Cross River
M. B. Ukpong,NPN,Abak,29/09/1940,,Cross River
A. Akpan Umoren,NPN,Ikot Epene II,04/10/34,,Cross River
Emmanuel A. Utande,NPN,Obudu,20/02/43,"B.Sc, M.A, Ph.D",Cross River
Agya Agbujoro,NPN,Wukari,1940,Diploma in Education Planning & Admin,Gongola
Gbaaondo H. David,,Takum,1949,Teacher Grade II Cert.,Gongola
Hamman Diko,GNPP,Maiha,1939,,Gongola
Barnabas Falu,UPN,Guyuk,1931,,Gongola
Bello Dauda Furo,NPN,Fufore,01/01/1958,,Gongola
Hassan Gambo,NPN,Mayo-Balwa,,,Gongola
A. Sani Garkida,NPN,Gombi,1937,,Gongola
Aeneas M. G. Gowono,UPN,Numan,15/01/18,,Gongola
D. B. Kamai,GNPP,Jalingo,18/04/38,,Gongola
Abdul K. Lanko,UPN,Sawa,1935,,Gongola
Dikko Hamman-Liman,NPN,Bali,1939,,Gongola
B. M. Mabrama Jen,UPN,Karim Lamido,1936,Grade II Teacher's Cert.,Gongola
Pastor Magiri,NPP,Michika,1941,Graduate Business Admin,Gongola
Aliyu Mahmud,NPN,Yola,1929,,Gongola
Idris N. Medugu,,Madagali,,,Gongola
James M. Nzalak,GNPP,Gembu,1944,Grade II Teacher's Cert,Gongola
David Saraso,,Ganye,,,Gongola
Amos Sunday,GNPP,Song,1943,Advance Cert. In Education,Gongola
Dominic Vontih Yakoko,UPN,Zing,1939,Diploma (General Admin),Gongola
B. D. Wahu,GNPP,Mubi,1950,,Gongola
David H. Gba' Aondo,GNPP,Takum,1949,,Gongola
Iliyasu Hong,GNPP,Hong,,,Gongola
Agwu N. Agwu,NPP,Ohaozara,08/06/1942,,Imo
Sam O. Alu,NPN,Afikpo,17/04/38,,Imo
P. C. Amadi,NPP,Owerri North,24/06/37,,Imo
T. C. Amasiatu,NPP,Oru,10/03/38,,Imo
G. I. Anukwuem,NPP,Ihitte Uboma,22/06/30,,Imo
E. O. Chukwu,NPP,Okigwe North,21/11/1939,,Imo
Paulnus U. Chukwu,NPP,Ohaji Egbema Ogutta,06/02/1932,Std VI,Imo
E. C. Ebo,NPP,Mbano East,25/12/1930,,Imo
J. E. Egburuche,NPP,Agbaja/Ururu,05/06/25,,Imo
Paul O. Eleke,NPP,Obowo,05/05/25,Dip in Physical & Health Education,Imo
Clement Erondu,NPP,Obima Ngwa,,,Imo
S. M. O. Ihekweazu,NPP,Nkwerre/Amaigbo,10/09/37,Career Nurse,Imo
A. O. Imo,NPP,Ezinihitte,1928,,Imo
Jonas O. Iwuagwu,NPP,Mbano West,03/11/38,,Imo
Empire Ndukaka Kanu,NPP,Ikwuano Umuahia,23/05/42,"HND Bus. Studies, Diploma Purchasing & Supply",Imo
Appolos N. Njoku,NPP,Isiala Ngwa,21/11/38,,Imo
V. O. Nnaji,NPP,Isu,,,Imo
S. U. Wanganga,NPP,Aba,01/07/42,,Imo
Cletus Nwokoro,NPP,Okigwe-South,19/09/34,,Imo
Kevin Nwosu,NPP,Orlu,10/11/34,,Imo
Isidore Obasi,NPP,Ahiazu Mbaise,02/12/35,,Imo
Chikwe H. Obihara,NPP,Owerri South,30/11/27,B.Sc Chemistry,Imo
K. R. Obioha,NPP,Ideato,,,Imo
T. N. Ochiama,NPP,Ikeduru,,,Imo
Ogwe Kalu Ogwe,NPP,Bendel,31/12/36,"L.L.B, B.L, Diploma in Bus. Org & Management",Imo
Michael Amaehchi Oje,NPP,Ohaozara West,10/06/37,Sch. Cert,Imo
Oke U. Oke,NPP,Ohafia,18/09/38,,Imo
Onwuka O. Oreh,NPN,Arochukwu,08/08/38,,Imo
E. D. N. Uwandu,NPP,Mbaitoli,27/11/34,,Imo
H. M. J. Wachuku,NPP,Ukwa,25/10/1925,,Imo
Saleh Abba,PRP,Zaria-North-East,,,Kaduna
B. Abdullahi,PRP,Tsagero,20/05/37,,Kaduna
