Name,Party,Constituency,Date of Birth,Education,State
Mac Onyemachi Nwulu,SDP,Abia South,5/12/32,Graduate School of Arts Science & Tech,Abia
Emmanuel C. Nwaka,NRC,Abia North,28/01/58,"Bachelor of Law, Barrister in Law.",Abia
Onyeka A. Okoroafor,NRC,Abia Central,1944,M.Sc (Engineering),Abia
Hamman Bello Moh'd,NRC,Adamawa Central,10/06/50,Certified Accountants (FCCA),Adamawa
T. B. Daniel,NRC,Adamawa Central,14/09/34,"Graduate in Admin, Diploma Public Admin.",Adamawa
Paul Wampana,NRC,Adamawa North,1946,Graduate Teachers College,Adamawa
Etang Edet Umoyo,NRC,Akwa Ibom South East,12/04/49,B.Sc (Sociology),Akwa Ibom
Aniete Udo Okon,NRC,Akwa Ibom North East,,,Akwa Ibom
Akaninyene Ukpanah,NRC,Akwa Ibom North-West,12/08/36,"Dip. Pharm, Phc, MPS & F.Inst",Akwa Ibom
Matthias N. Chukwuma,NRC,Anambra South,January 28,"Bachelor of Law Degree, Barrister-at-Law",Anambra
Ebenezer C. Ikeyina,SDP,Anambra Central,27/02/39,M.Tech,Anambra
Chuba Okadigbo,SDP,Anambra North,12/12/41,Ph.D in Philosophy,Anambra
Ibrahim Yakubu Lame,NRC,Bauchi Central,13/04/51,Ph.D (Education Administration),Bauchi
Mohammed B. Katagun,NRC,Bauchi North,05/11/47,B.Sc (Medicine),Bauchi
Moh'd Uba. Ahmed,NRC,Bauchi East,,,Bauchi
Ameh Ebute,SDP,Benue South,16/05/46,Master of Law.,Benue
Iyorchia Ayu,SDP,Benue North,1952,"B.Sc. in Sociology, M.A & Ph.D",Benue
David Iornem,SDP,,15/08/49,"M.Sc., FIMC & Ph.D in Marketing Science, Advertising & Publicity",Benue
Abba Hassan Sadig,SDP,Borno North,1954,"B.Sc. Education, Master Degree in Planning & Admin.",Borno
Abubakar Mahdi,SDP,Borno South,01/1950,National Diploma in Personnel Management,Borno
Ali M. Sheriff,NRC,Borno Central,,,Borno
Patrick Offiong Ani,NRC,Cross River South,01/11/43,A fellow of the Institute Chartered Accountants,Cross River
Liyel Olayinka Imoke,NRC,Cross River Central,10/07/61,B.A in Government & Politics & LL.B (Hons) & B.L,Cross River
Paul Ukpo,NRC,Cross River North,,,Cross River
D. K. Azinge,SDP,Delta North,06/11/34,"Graduate of Law, Economics & Politics",Delta
W. O. Eradajaye,SDP,Delta Central,26/06/34,Ph.D in Business Administration,Delta
F. S. Okpozo,SDP,Delta South,17/11/46,Intermediate Law Degree,Delta
Albert Osumah Legogie,SDP,Edo North,22/01/47,Law and Public Admin,Edo
Sunday O. Iyahen,SDP,Edo South,03/11/1937,Ph.D and Doctor of Science Degree (D.Sc),Edo
John Oriaifo,SDP,Edo South East,18/10/41,Graduate in Medicine,Edo
Polycap Ogbonna Nwite,SDP,Enugu East,01/06/41,SSCE,Enugu
Ben Collins Ndu,NRC,,,,Enugu
Fedelis C. Okoro,NRC,,,,Enugu
Bright Nwanne,NRC,Owerri Zone,12/12/56,Bachelor Degree in Marketing,Imo
Umar N. Maduagwu,NRC,Orlu Zone,14/02/45,M.Sc. Degree in Mining Engineering,Imo
B. C. Agunanne,NRC,Okigwe Zone,16/01/1935,M. Ed Degree,Imo
Musa B. Abdullahi Aujara,SDP,Jigawa Central,1958,Diploma in Educational Management,Jigawa
Moh'd U. S. Magama,PDP,Jigawa East,,,Jigawa
Ibrahim Musa Kazaure,SDP,Jigawa West,,,Jigawa
Musa Bello,NRC,Kaduna Central,20/06/55,Business & Marketing Studies,Kaduna
Tsoho Abubakar Ikara,NRC,Kaduna West,1950,National Diploma in Admin.,Kaduna
Babale K. Maikarfi,SDP,Kaduna East,31/07/42,Master Degree in Educational Psychology,Kaduna
Aminu Inuwa,SDP,Kano Central,1945,"Degree in Public Admin., M.Sc (Public Admin)",Kano
Magaji A. Abdullahi,SDP,,,,Kano
Isa Kachoko,NRC,Kano South,15/01/40,Diploma in Personnel Management,Kano
Abu Ibrahim,NRC,Kastina South,28/10/45,B.Sc & M.Sc in Economics,Katsina
Ibrahim A. Safana,SDP,Katsina Central,,Public Administration,Katsina
Kanti Bello,,Katsina North,"January, 1945",Bachelor of Engineering Degree,Katsina
Aliyu Mohammed Nassarawa,NRC,Kebbi Central,09/10/39,Graduate from School of Nursing,Kebbi
Adamu Baba Augie,NRC,Kebbi North,16/04/40,Diploma in Journalism & Advance Diploma in Mass Communication,Kebbi
Bala Tafidan Yauri,NRC,Kebbi South,01/03/37,HND in Building/Civil Engineering,Kebbi
A. T. Ahmed,SDP,Kogi Central,29/05/43,Masters Degree in Engineering,Kogi
Ahmadu Adah Ali,NRC,Kogi East,01/03/36,Post Graduate Degree (FRCP and MRCP),Kogi
Sunday B. Awoniyi,NRC,Kogi West,30/04/32,Major in Geography and English,Kogi
Ayinla Olomada,SDP,Kwara Central,19/11/1936,Diploma in Public Admin.,Kwara
Michael Adebisi Oyewo,SDP,Kwara South,04/03/40,Studied Textile,Kwara
Idris Gunu Haliru,SDP,Kwara North,1940,HND in Local Government Administration,Kwara
Tinubu Bola,SDP,Lagos West,29/03/52,Graduate,Lagos
Kofo Bucknor Akerele,SDP,Lagos Central,,Diploma in Journalism,Lagos
Anthony Adefuye,SDP,Lagos East,14/09/44,B.Sc in Mechanical Engineering,Lagos
Dangana Ndayako,NRC,Niger South,21/11/50,B.Sc Degree in Business Administration,Niger
Haliru Dantoro,NRC,Niger North,1938,,Niger
Idris Kuta Ibrahim,NRC,Niger,01/10/42,S. W. Essex Technical College London (1963-67),Niger
Jubril Martins-Kuye,SDP,Ogun East,16/09/42,"B.Sc Sociology, PGD Education",Ogun
Solomon A. Otegbola,SDP,Ogun West,14/12/32,,Ogun
Monsurudeen Osholake,SDP,Ogun Central,,,Ogun
Olawole Julius Adewumi,SDP,Ondo North,14/09/42,Master of Business Admin.,Ondo
Oluremi Okunrinboye,SDP,Ondo East,11/10/53,,Ondo
Adebiyi A. Adekaye,SDP,Ondo South,15/01/39,HND in Business Admin.,Ondo
Segun O. Bamigbetan,SDP,Osun East,,Majored in Education,Osun
Olu Alabi,SDP,Osun Central,18/03/44,B.Sc (Medicine),Osun
Omilani O. Oladimeji,SDP,Osun West,18/07/36,,Osun
Rashidi Adewolu Ladoja,SDP,Oyo South,25/10/44,Bachelor's Degree in Chemical Engineering,Oyo
Wande Abimbola,SDP,Oyo Central,26/06/36,"B.A in History, M.A in Logistics & Ph.D in Yoruba Literature",Oyo
Ayantayo Ayandele,SDP,Oyo North,08/11/36,Higher School Certificate,Oyo
V. K. Dangin,SDP,Plateau East,30/09/39,Majored in Public and Business Administration,Plateau
Jacon Adankana Isandu,SDP,Plateau North,,"Bachelor of Econs Degree HND in Business Studies, Advance Diploma in Pub. Admin",Plateau
Joseph K. Umaru,SDP,,,,Plateau
Bennett Birabi,NRC,River,29/07/50,Graduate in Medicine,Rivers
