Name,Party,Constituency,Date of Birth,Education,State
Adolphus N. Wabara,PDP,Abia South,01/06/1948,Masters Degree,Abia
Ike Omar S. Nwachukwu,PDP,Abia North,01/09/1940,Military Diploma,Abia
John Bob Nwannunu,PDP,Abia Central,05/09/1950,Doctor of Medicine Degree,Abia
Jonathan S. Zwingina,PDP,Adamawa South,01/08/1954,Doctoral Degree in Political Science,Adamawa
Iya Abubakar,PDP,Adamawa North,14/12/1938,Doctoral Degree & Doctor of Science Degree,Adamawa
Abubakar Halilu Girei,PDP,Adamawa Central,14/03/1954,Master of Business Admin.,Adamawa
Akpanudoedehe John James,PDP,Akwa Ibom North East,10/11/1960,Bachelors Degree in Sociology /Anthropology,Akwa Ibom
Emmanuel Ibok Essien,PDP,Akwa Ibom North West,15/12/1956,Bachelor of Engineering (Civil Engineering),Akwa Ibom
Udoma Udo Udoma,PDP,Akwa Ibom South,02/02/1954,Bachelor of Law Degree; BCL (Law),Akwa Ibom
Mike N. I. Ajegbo,PDP,Anambra Central,23/03/1949,Bachelor of Law Degree,Anambra
Eriobuna Nnamdi,PDP,Anambra South,06/11/1948,Doctor of Medicine in General Medicine,Anambra
Chuba Okadigbo,PDP,Anambra North,17/12/1941,Doctoral Degree in Pol. Science and Doctor of Philosophy,Anambra
Salisu I. Musa-Matori,PDP,Bauchi South,22/04/1941,"Diploma in Bus. Admin., & Professional Cert.",Bauchi
M. B. Mustapha,PDP,Bauchi North,1949,Masters Degree in Accountancy,Bauchi
Idi Othman Guda,PDP,Bauchi Central,1946,Bachelor of Ed.,Bauchi
David Cobbina Brigidi,PDP,Bayelsa Central,16/09/1962,Bachelor of Law Degree & Barrister at Law,Bayelsa
Emmanuel Wenekado T.,AD,Bayelsa West,24/02/1946,Diploma in Textile Distribution,Bayelsa
Melford Okilo,PDP,Bayelsa East,30/11/1933,Bachelor of Law Degree,Bayelsa
David Bonaventure A. Mark,PDP,Benue South,08/04/1948,Bachelor of Engineering Degree in Telecommunication,Benue
Waku J. K. N.,PDP,Benue North-West,12/06/1946,PGD in Management,Benue
Daniel Iyorkegh Saror,PDP,Benue North-East,09/10/1941,Doctoral Degree,Benue
Maina Ma'aji Lawan,PDP,Borno North,12/07/1954,Bachelor of Business Admin.,Borno
