Name,Party,Constituency,Date of Birth,Education,State
Obi Onyeabo,NPP,Anambra West,20/11/1938,"WASC, GCE Advance Level, (L.L.B)",Anambra
Ani Isaiah Nnamani,NPP,Anambra North,16/06/1933,,Anambra
Udenze Chukwuemeka,NPP,Anambra,,,Anambra
Onwudiwe Edwin,NPP,Anambra,,,Anambra
Nwanko Andrew Ogbonna,,Anambra,,,Anambra
Dimis Ibrahim,NPN,Bauchi South,01/10/1927,Privately Educated,Bauchi
Waziri Ibrahim Jalo,NPN,Bauchi East,1926,,Bauchi
Rufa'i Ahmadu Damyama,NPN,Bauchi Central,August 1919,,Bauchi
Mohammed Adamu Ambi,NPN,Bauchi,,,Bauchi
Tuggar Abubakar,NPN,Bauchi,,,Bauchi
Dafinone David Omueya,NPN,Bendel South,12/03/1927,"Diploma in Public Admin., B.Sc Econs, Chartered Accountant",Bendel
Umolu John Osiomele,UPN,Bendel North,1919,,Bendel
Afegbua Franca Adiza,,Bendel,,,Bendel
Iyahen Sunday Osarumwense,,Bendel,,,Bendel
Ikpo Nosike,UPN,Bendel East,21/03/1933,,Bendel
Ali Amadu Adah,NPN,Benue West,01/03/1936,"MB, BS (London), Post Graduate Studies",Benue
Abutu Abubakar D.,NPN,Benue South Central,17/01/1937,Diploma Industrial Relations,Benue
Hagher Iyorwuese,NPN,Benue,,,Benue
Ogiri Adejo,NPN,Benue,,,Benue
Tilley-Gyado Jacob,NPN,Benue,,,Benue
Lawan Mohammed Girigiri,NPN,Borno-North-West,19/09/1944,Business Administration,Borno
Kadi Idrisa,NPN,Yerwa,1926,"Diploma in Arabic, English & History",Borno
Mangga Ja'afar Jarafu,GNPP,Borno North,15/10/1933,"B.A. (Hons) Education, Diploma (Guidance & Counselling) (NCE)",Borno
Sanda Bukar,NPN,Borno West,1940,"Teachers Grade II, Teachers Grade III, NCE",Borno
M. Zanna Kachalla,,Borno,,,Borno
Ansa Joseph Oqua,GNPP,Calabar,20/07/1940,"GCE O/L & A/L, Dip Cert., Accountancy & Commercial",Cross River
Daniel George Asuquo,GNPP,Uyo,30/07/1931,B.Sc Econs.,Cross River
Wayas Joseph,NPN,Ogoja,21/05/1941,B.Sc Econs.,Cross River
Akan Victor,NPN,Eket,1938,,Cross River
