Member,Party,State,Constituency
Stanley O. Ohajuruka,PPA,Abia,Ikwuano / Umuahia North / Umuahia South
Nnenna Ijeoma Ukege,PDP,Abia,Bende
Nkiruka Onyejeocha,PDP,Abia,Isuikwato / Umunneochi
Kala igu Uduma,PDP,Abia,Arochukwu / Ohiafia
Nnanna Uzor,PPA,Abia,Aba North / Aba South
Emeka Stanley,PPA,Abia,Ukwa East / Ukwa West
Chinenye Ike,PDP,Abia,Isiala-Ngwa North / Isiala-Ngwa South
Eziuche Chinwe Ubani,PDP,Abia,Obingwa / Osisioma Ngwa / Ugwunagbo
Egah Dohi Isah,PDP,Federal Capital Territory,Abaji / Gwagwalada / Kuje / Kwali
Muhammed Nasiru,ANPP,Federal Capital Territory,AMAC / Bwari
Sa'ad M. C. Tahir,PDP,Adamawa,Yola North / Yola South / Girei
Jim Kwawo Audu,AC,Adamawa,Guyuk / Shelleng
Anthony Madwate,PDP,Adamawa,Demsa / Lamurde / Numan
Emmanuel Bello,PDP,Adamawa,Gombi / Hong
Aminu Hamman R.,PDP,Adamawa,Fufore / Song
Gella Ahmed Njidda,PDP,Adamawa,Mubi North / South / Maiha
Babale Martins,AC,Adamawa,Jada / Ganye / Toungo / Mayo-Belwa
Binta Masi Garba,PDP,Adamawa,Michika / Madagali South / Maiha
Aniedi Ikpong King,PDP,Akwa Ibom,Etinan
Ubong Etiebet,ANPP,Akwa Ibom,Ukanafun / Orukanam
Enang Ita James,PDP,Akwa Ibom,Itu / Ibiono Ibom
Patty Etete Inemeh,PDP,Akwa Ibom,Ikot Ekpene
Eseme Sunday Eyiboh,PDP,Akwa Ibom,Eket / Onna / Esit Eket / Ibeno
Benard Udoh,PDP,Akwa Ibom,Mkpat-Enin / Ikot Abasi / Eastern Obolo
Peter Linus Umoh,PDP,Akwa Ibom,Oron / Mbo / Okobo / Udung-Uko / Urue-Offong/Oruko
Ini Akpan Udoka,AC,Akwa Ibom,Ikono / Ini
Ekperikpe Ekpo,PDP,Akwa Ibom,Abak / Etim Ekpo / Ika
Bassy Etim,PDP,Akwa Ibom,Uyo
C.I.D. Maduabum,PDP,Anambra,Nnewi North / Nnewi South / Ekwusigo
Lynda Chuba Ikeazu,PDP,Anambra,Onitsha North / Onitsha South
Ugochukwu Nedu,PDP,Anambra,Orumba North / Orumba South
Obinna Chidoka,PDP,Anambra,Idemili North / Idemili South
Chinedu Eleomuno,PDP,Anambra,Oyi / Ayamelum
Nzeribe Chuma,PDP,Anambra,Ihiala
Umoji Chukwuma,LP,Anambra,Aguata
Uche Ekwunife,PDP,Anambra,Njikoka / Anaocha / Dunukofia
Uchieze Emmanuel,PDP,Anambra,Awka North / Awka South
Ralph Okeke,PDP,Anambra,Anambra East / Anambra West
Onyema C. Wilfred,PDP,Anambra,Ogharu
Auwalu Abdu Gwalade,ANPP,Bauchi,Katagum
Yakubu Dogara,PDP,Bauchi,Dass / Tafawa Balewa / Bogoro
Sama 'ila Ilali Ahmed,ANPP,Bauchi,Misau / Damban
Ibrahim Makama Sani Abdu,ANPP,Bauchi,Alkaleri / Kirfi
Mohammed Sani Abdu,ANPP,Bauchi,Alkaleri / Kirfi
Sabo Usman Ibrahim,ANPP,Bauchi,Jamaare / Itas Gadau
Haruna Ibrahim,ANPP,Bauchi,Toro
Salisu Zakari,ANPP,Bauchi,Ningi / Warji
Yusuf Maitama Tuggar,ANPP,Bauchi,Gamawa
Adamu A. Gurai,ANPP,Bauchi,Shira / Giade
Omar Tata,PDP,Bauchi,Zaki
Mustapha Ahmed,ANPP,Bauchi,Bauchi
H. S. Dickson,PDP,Bayelsa,Sagbama / Ekeremor
Warman W. Ogoriba,PDP,Bayelsa,Yenagoa / Kolokuma/Opokuma
Clever M. Ikisikpo,PDP,Bayelsa,Ogbia
Nelson Belief,PDP,Bayelsa,Brass / Nembe
Donald Egberibin,PDP,Bayelsa,Southern Ijaw
David Onobi Idolo,PDP,Benue,Ado / Ogbadibo / Okpokwu
Solomon U. Agidani,PDP,Benue,Gwer East / Gwer West
Emmanuel Yisa O. J.,PDP,Benue,Buruku
Terngu Tsegba,PDP,Benue,Gboko / Tarka
Emmanuel Jime,PDP,Benue,Makurdi / Guma
Demnege Alaaga,PDP,Benue,Gwer East / Gwer West
Iho David Mzenda,PDP,Benue,Katsina-Ala / Logo / Ukum
Iorwase Herman C. H.,PDP,Benue,Konshisha / Vandeikya
Chile Igbawua W.,PDP,Benue,Kwande / Ushongo
Adikpe Agbonu A.,PDP,Benue,Obi / Oju
Nelson G. O. Alapa,ANPP,Benue,Ohimini / Otukpo
Baba Gana Tijani,ANPP,Borno,Bama / Ngala / Kala/Balge
Muktar Betara Aliyu,ANPP,Borno,Biu / Bayo / Shani / Kwaya Kusar
Kaka Adam Mustapha,ANPP,Borno,Dikwa / Mafa / Konduga
Mohammed Ali Ndume,ANPP,Borno,Damboa / Gwoza / Chibok
Shetimma Shehu,ANPP,Borno,Kaga / Gubio / Magumeri
Mohammed Tahir Monguno,ANPP,Borno,Monguno / Marte / Nganzai
Modu Alhaji Musa,ANPP,Borno,Kukawa / Mobbar / Abadam / Guzamala
Mustapha Baba Shehuri,ANPP,Borno,Maiduguri
Abba Dawud Lawan,ANPP,Borno,Jere
Ishaku Joshua S.,ANPP,Borno,Askira/Uba / Hawul
Paul Andeshi Adah,PDP,Cross River,Bekwarra / Obudu / Obanliku
Enoh John Owan,PDP,Cross River,Obubra / Etung
Christopher S. Eta,PDP,Cross River,Ikom / Boki
Gabriel Ekpishoko Edi,PDP,Cross River,Ogoja / Yala
Bassey Edet Otu,PDP,Cross River,Calabar / Odukpani
Essien Ekpeyong Agi,PDP,Cross River,Akpabuyo / Bakassi / Calabar South
Alex Ukam,PDP,Cross River,Biase / Akamkpa
Bassey Eko Ewa,PDP,Cross River,Yakurr / Abi
Overah O. Joyce,PDP,Delta,Okpe / Sapele / Uvwie
Ogor Okuweh,PDP,Delta,Isoko North / Isoko South
John Halims Agoda,PDP,Delta,Ethiope
Daniel Oritse G. R.,PDP,Delta,Warri
Tamarautare Brisibe,PDP,Delta,Burutu
Mercy Almona-Isei,PDP,Delta,Ndokwa / Ukwuani
Mutu Nicholas Ebomo,PDP,Delta,Bomadi / Patani
Doris Uboh,PDP,Delta,Ika
Ndudi Godwin Elumelu,PDP,Delta,Aniocha / Oshmili
Solomon Ahwinahwi,PDP,Delta,Ughelli / Udu
Omo Christopher Isu,PDP,Ebonyi,Afikpo North / Afikpo South
Okereke Onuabunchi,PDP,Ebonyi,Ohaozara / Onicha / Ivo
Igwe Paulinus Nwagu,PDP,Ebonyi,Ezza North / Ishielu
Sylvester Ogbaga,PDP,Ebonyi,Abakaliki / Izzi
Innocent U. Ugochima,ANPP,Ebonyi,Ezza South / Ikwo
Elizabeth O. Ogbaga,PDP,Ebonyi,Ebonyi / Ohaukwu
Friday Itulah,PDP,Edo,Esan South East / Esan North East
Abasi Ogwime B.,PDP,Edo,Etsako
Ifaluyi Isibor,PDP,Edo,Egor / Ikpoba Okha
Abolagba Johnson A.,PDP,Edo,Owan
Tunde Akogun,PDP,Edo,Akoko Edo
Patrick A. Ikhariale,PDP,Edo,Esan Central / Esan West / Igueben
Osagie R. Samson,PDP,Edo,Orhionmwon / Uhumwonde
West-Idahosa Ehiogie,PDP,Edo,Ovia North East / Ovia South West
Patrick Obahiagbon,ANPP,Edo,Oredo
Raji Rasaki Fatima O.,PDP,Ekiti,Ado Ekiti / Irepodun/Ifeodun
Akindahunsi Titilayo,PDP,Ekiti,Ekiti South West / Ikere / Orun
Akinwale Florence A.,PDP,Ekiti,Ekiti East / Emure
Faseyi Samuel Duro,PDP,Ekiti,Ido
Odebunmi Peter Kehinde,PDP,Ekiti,Ijero / Ekiti West / Efon
Aribisala Adewale,AD,Ekiti,Ikole / Oye
